N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
5,19,14,33,8361.0596,0.7,10.288276478101775,0.311765953881872,0.0,0.1515151515151515,275.9149668,274.357033458144,1.5579333418560282,0.8571428571428571,4.50795880000004,16.703930000000014,13.707927199999972,31.970120199999997
3,18,15,33,8513.8073,1.1,10.288276478101775,0.311765953881872,0.0,0.09090909090909094,280.9556409,279.17494519668884,1.780695703311153,1.4285714285714286,10.103791299999955,9.54863290000003,18.039442199999996,25.96458290000001
1,17,16,33,8497.6304,0.0,10.288276478101775,0.311765953881872,0.0,0.030303030303030276,280.4218032,280.110515983226,0.31128721677401927,1.7142857142857142,8.641639999999995,9.569953599999963,23.685962899999993,18.21476359999997
-1,16,17,33,8304.7557,0.4,10.288276478101775,0.311765953881872,0.0,-0.030303030303030276,274.05693809999997,273.5119567345972,0.544981365402748,1.7142857142857142,15.739952499999958,2.276774899999964,30.11142499999997,11.140739399999973
-3,15,18,33,7928.9559,0.4,10.288276478101775,0.311765953881872,0.0,-0.09090909090909083,261.6555447,259.37864865316703,2.2768960468329738,1.4285714285714286,15.255259900000027,3.3385590999999977,,4.9197044000000005
10,22,12,34,7550.3919,7.4,10.49508462297634,0.30867895949930413,1.0,0.2941176470588235,256.71332459999996,258.2618492527281,-1.5485246527281333,1.3333333333333333,4.710863999999987,,6.990409399999976,
8,21,13,34,7860.3506,2.2,10.49508462297634,0.30867895949930413,-1.0,0.23529411764705888,267.2519204,268.7763365698178,-1.524416169817755,0.8333333333333334,2.5715528000000063,15.24945980000004,8.04088360000003,36.2157124
6,20,14,34,8337.1659,0.8,10.49508462297634,0.30867895949930413,1.0,0.17647058823529416,283.46364059999996,282.1793521641301,1.2842884358698825,0.0,7.5486737999999605,18.78327299999995,12.0566326,33.740725399999974
4,19,15,34,8448.1856,0.8,10.49508462297634,0.30867895949930413,-1.0,0.11764705882352944,287.2383104,285.11699520079884,2.121315199201149,0.8333333333333334,6.282669499999997,11.323343599999987,16.386460799999952,28.0272736
2,18,16,34,8583.4986,0.0,10.49508462297634,0.30867895949930413,1.0,0.05882352941176472,291.8389524,291.58203709817883,0.2569153018211523,1.3333333333333333,11.417149199999983,10.88331149999999,20.05878919999998,20.43194440000002
